Customer ID,Customer Name,Address
ANNECYMETROLOGIE,"ANNECY METROLOGIE","Parc Althais, 24 rue Uranus, 74650, CHAVANOD, HAUTE-SAVOIE"
APCSERVICES,"APC SERVICES","ZAE des Vernays, 74210, DOUSSARD, HAUTE-SAVOIE"
APPLICHRO,"Applichrome","270 Rue de R. Follereau, Z.I. des Grands Prés, 74300, Cluses"
APSPASQUIE,"Alp' Plafond System","1, Chemin du Chenet, 74540, ALLEVES"
ARAVISELEC,"Aravis Elec","19, Rue du Père F. Avrillon, 74230, Thônes"
ARAVIS-LAC,"Aravis Lac","Maison du Canton, 4, Rue du Pré de Foire, 74230, Thônes"
ARBOSPHERE,"Arbosphère","Bât. Scierie du Faucigny, ZA du Taney, 74250, La Tour"
ATD,"Agence Touristique Départementale","56, Rue Sommellier B.P. 348F, 74000, ANNECY"
ATCI,"Atci Conseil","9, Rue des Vieux Moulins, Parc d'Activité Actigone 3, 74960, Meythet"
ARVIAUTOMO,"Arvi Automobiles","3, Rue de l'Euro, Zone Actigone 4, 74960, Meythet"
ASAC,"ASAC Mont Blanc","15 rue de la Préfecture - "la résidence", "la résidence", 74000, ANNECY, HAUTE-SAVOIE"
ASD-BUCHAI,"Grenke-Location SAS","Z.I. des Iles, 2 chemin des entreprises, 74960, Cran Gevrier"
ASEPTIC,"ASEPTIC FLUIDES SYSTEMES","Zac Isiparc - Klean Plazza, 38330, ST ISMIER, ISERE"
ASSOC-MAIR,"des Maires","Incomplete address"
ASTRUCBUAT,"Astruc et Buatier","Le Village, 1851, MARBOZ"
ATDSRLA,"Agence Touristique Départementale","S.R.L.A. 17, Avenue d'Albigny, 74000, ANNECY"
ATDUBATEAU,"ATELIER DU BATEAU","94 ROUTE DE LA TUILLERIE, 74410, ST JORIOZ, HAUTE-SAVOIE"
ATOUMAT,"Atoumat","Z.A. de la Verrerie, 74290, Alex"
AUDITSECURITEINCENDI,"A.S.S.T.I","66 chemin des près du Biel, LE NOYERAY, 74210, FAVERGES, HAUTE-SAVOIE"
AURBORPEIN,"Aurore Boréale Peinture","145, Route des Vernes, Argonay, 74370, Pringy"
AVENIREPARGNE,"AVENIR EPARGNE","1A Boulevard de la Chantourne, Immeuble le Century, 38700, LA TRONCHE, ISERE"
AXITE,"Axite","Immeuble Alpha, 7 impasse des Prairies, PAE des Glaisins, 74940, ANNECY LE VIEUX, HAUTE-SAVOIE"
AXPOSE,"AX'POSE","Le Vernog, 74370, ST MARTIN DE BELLEVUE"
BADO,"BADO Antoine","6 Sous les Fraises Sauvages, 74600, SEYNOD, HAUTE-SAVOIE"
BADOJONATHAN,"BADO Jonathan","105 Chemin du Lango, 74600, QUINTAL, HAUTE-SAVOIE"
BAILLOT,"Baillot Bernard","Place d'Etale, 74960, CRAN GEVRIER"
BALME-CAFE,"Café de Balme",""Sarl ""Les Montagnardes""", 309, Route des Grottes de Balme, 74300, Magland"
BANCELAIN,"Bancel'Ain Carrelages","Z.A.Sur Le Contour, 01510, ARTEMARE, AIN"
BARRATGROUP,"Antarés","L'Acropole, 86 Avenue d'Aix les Bains, 74600, SEYNOD, HAUTE-SAVOIE"
BBM,"Cabinet Comptable BBM","215 rue Montava, 74370, ARGONAY, HAUTE-SAVOIE"
BBNSERRURERIE,"MECAMETAL","20 rue de l'Euro, Actigone 4, 74960, MEYTHET, HAUTE-SAVOIE"
BEAUSEJOUR,"Beau Séjour","Mr Yasfi Mohamed, 9, Place Perdtemps, 1220, Divonne Les Bains"
BEGUIN,"Hôtel Beguin","Village 2 têtes 1600, 73700, LES ARCS, SAVOIE"
BERLUTTIJL,"BERLUTTIJL","14, Rue du 18 Mai 1945, 74300, CLUSES"
BERNARDICH,"Bernardi","152, Rue des Merisiers, Z.A.C. Pré Vaurien, 74370, Pringy"
BETONFAUCIGNY,"BETON DU FAUCIGNY","ZI La praux Noyer, 74200, ALLINGES, HAUTE-SAVOIE"
BETTIN,"Bettin","330, Route du Plagnolet, 74400, ARGENTIERES"
BGVITRERIE,"BG Vitrerie","Le Chevreuil, 74230, MANIGOD"
BILLET,"Genevieve BILLET","Incomplete address"
BIOVAL,"BIOVAL","Incomplete address"
BLANCHBEAUFORTIN,"Blanchisserie du Beaufortin","Zone Artisanale, 73270, BEAUFORT SUR DORON, SAVOIE"
BLINESTHET,"Blin","Châlet Latitude, Centre Village Haut, 74440, Verchaix"
BOCC,"Bocc","10, Rue Henri Bordeaux, 74000, ANNECY"
BOISIER,"D.E.C. Boisier Michel","Lieu Dit Martelet, 74300, CHATILLON SUR CLUSES, HAUTE-SAVOIE"
BOTTOLIETP,"Bottollier T.P.","1145, Avenue André Lasquin, Z.I. Allée F, 74700, Sallanches"
BRISARD-CM,"Brisard Dampierre","Constructions Métalliques, B.P. 45, 70180, Dampierre Sur Salon"
BRESSEPHILIPPE,"BRESSE PHILIPPE ERP","310 rue Glière du Thermasay Marlens, 74210, VAL DE CHAISE"
BRIDECOLE,"Brides les Bains","Mairie de Brides les Bains, Place du Centenaire    B.P. 32, 73571, Brides les Bains Cedex"
BRIDEMAIRI,"Mairie de Brides les Bains","Place du Centenaire, B.P. 32, 73571, Brides les Bains Cedex"
BRIDEOFFIC,"Office de Tourisme  Brides les Bains","B.P. 28, 73572, Brides les Bains Cedex"
BRIVETALAINSARL,"Brivet Alain EURL","70 Rue Cassiopée  ''Parc Altais'', 74650, CHAVANOD, HAUTE-SAVOIE"
BRUNPATRIC,"BRUN Patrice","12 Rue Glères, 74000, ANNECY"
BTP74,"BTP 74","15, Rue Andromède, Parc Altaïs, 74650, Chavanod"
BUILDINV,"du Palace de Menthon","Le Palace de Menthon, 665, Route des Bains, 74290, MENTHON ST BERNARD"
C.C. ODILE,"Chamiot-Clerc Odile","TAXI Les Carrées, 73200, ALLONDAZ"
CAHS,"Crédit Agricole des Savoie","Incomplete address"
CALLOUD,"Calloud Bertrand","18, Rue de la Licorne, 73600, MOUTIERS TARENTAISE"
CARCAJOU,"Groupe Exiativ","71 Route des Méandres, ZA des Iles, 74230, LA BALME DE THUY, HAUTE-SAVOIE"
CAROTENUTO,"Carotenuto Francesco","Clinique Générale de Savoie, 306, Bouleva, 73000, CHAMBERY"
CHALETCHARDON,"CHALET CHARDON","518 AVENE DU FER A CHEVAL, 74380, BONNE, HAUTE-SAVOIE"
CARRIERESALLINGES,"Carrières Allinges","ZA La Praux -  Noyer, 74200, ALLINGES, HAUTE-SAVOIE"
CASANOVAFR,"Casanova Francine","621, Le Clos Baron, 74700, Domancy"
CASEDEPART,"Case Départ","Couveuse d'Activités, 4 Bis, Avenue du Pont de Tasset, 74960, Cran Gevrier"
CAVESAVOYA,"Cave Savoyarde SVF","2002, Route des Grandes Alpes, Chef Lieu, 74430, St Jean d'Aulps"
CAVIAR,"Caviar & Chocolats","Z.I. Les Fourmis, 211 Av du Mont Blanc, 74130, BONNEVILLE, HAUTE-SAVOIE"
CCI-HS,"Chambre de Commerce et de l'Industrie","5, Rue du 27ème BCA, BP 2072, 74011, Annecy Cedex"
CD CREATION,"CD CREATION","Incomplete address"
CHALMAS,"Imprimerie Chalmas - Dû 131.56 €","P.A. Les Verts Prés, 74960, CRAN GEVRIER"
CDTP,"CDTP","Z.I. des Niollets, 74140, DOUVAINE"
CE00005,"yoyo","aa, zeda, ljbhighuvgb"
CE00013,"ALTAIR","Incomplete address"
CE00021,"le grand shop","Incomplete address"
CE00053,"Mairie de Boussy","Chef lieu,, 74150, BOUSSY, HAUTE-SAVOIE"
CE00055,"cocoa valley","Incomplete address"
CE00062,"ASSOCIATION PETIT PAYS","Incomplete address"
CHAMBMETIE,"Chambre des Métiers de la Hte Savoie","28, Avenue de France, BP 2015, 74011, ANNECY Cedex"
CECCONBTP,"CECCON BTP","Avenue des Iles Prolongée, CS 30012, 74961, CRAN GEVRIER Cedex"
CECCONFR,"Ceccon Freres","Avenue des Iles Prolongées, CS 30012, 74961, CRAN GEVRIER CEDEX"
CEGETELRSS,"Cegetel RSS","Tour Cèdre 7, Allée de l'Arche, 92677, Courbevoie Cedex"
CEGID,"CEGID","52 Quai Paul Sedaillan, 69009, LYON 9EME ARRONDISSEMENT, RHONE"
CHAMBMETRO,"Chambéry Métropole","106, Allée des Blachères, 73026, CHAMBERY Cedex"
CERODE,"Cerode","250, Rue Raoul Follereau, Z.I des Grands Prés, 74300, Cluses"
CFPI-HERIS,"C.F.P.I.","Le Thermesay - RN 508, 74210, MARLENS"
CGHRESIDENCES,"CGH Résidences","6 Avenue du Pré Félin, Parc des Glaisins, 74940, ANNECY LE VIEUX, HAUTE-SAVOIE"
CHABICHOU,"SAS Chabichou Participations","Rue des Chenus, BP 21, 73120, COURCHEVEL"
CL00032,"PELIZZARI","660 ROUTE D AMANCY, 74800, AMANCY, HAUTE-SAVOIE"
CHAMBRESMETIERCMA,"Chambres de Métiers et de l'Artisanat","28 Avenue de France, BP 2015, 74011, ANNECY CEDEX, HAUTE-SAVOIE"
CHAMIOTMAI,"SARL CHAMIOT-MAITRAL","Le Planay, Mont Gombert, 73400, UGINE, SAVOIE"
CHARPENTECHAINAZ,"CHARPENTE CHAINAZIENE","Incomplete address"
CHARVIN,"Charvin Charles & Fils","343, Route Villard - BP 12, 74410, ST JORIOZ"
CHARVMEGEV,"Charvin  Mégevand","Syndic de Copropriétés, 2 avenue Zanaroli, 74600, SEYNOD, HAUTE-SAVOIE"
CHASSEFEDE,"Chasseurs de Savoie","Allée du Petit Bois, 14, Parc de l'Etalope, 73000, Bassens, SAVOIE"
CHAUM,"Chaumière","Les Nants Derrière, 74110, Morzine"
CHEVALIEREQUIP,"CHEVALIER EQUIPEMENT SARL","42 Route Glière de Thermesay, 74210, MARLENS, HAUTE-SAVOIE"
CHEVALLIER,"BOULANGERIE CHEVALLIER","ZI Les Césardes, 10 rue Gustave Eiffel, 74600, SEYNOD, HAUTE-SAVOIE"
COPPEL,"Coppelia","556, rue de Chantabord, 73024, CHAMBERY Cedex"
CL00004,"COMETHO","ZA des Perasses, 74230, THONES, HAUTE-SAVOIE"
CL00040,"MSC Moulage caoutchouc","3 impasse des ecrevisses, ZI du pont de tasset, 74960, MEYTHET, HAUTE-SAVOIE"
CL00053,"SARL JD","4 RUE DE SANCY, ZI DE VOVRAY, 74600, SEYNOD, HAUTE-SAVOIE"
CLEANALPSERV,"DADOUI","15 ROUTE DES VERNES, 74370, ARGONAY, HAUTE-SAVOIE"
CLERCIMMO,"Clerc Immobilier","SARL J2C, 4 ROUTE D ANNECY, 74290, Veyrier du Lac"
CLIMBINGTECH,"Climbing Technology","Parc des Erables, 6 rue des artisans, 74100, VETRAZ MONTHOUX, HAUTE-SAVOIE"
CODERS74,"Cors 74","2, Bis Clos du Buisson, 74940, ANNECY LE VIEUX, HAUTE-SAVOIE"
COFIDESTSALLANCHES,"COFIDEST GROUPE  CABINET CARRIER","131 rue des Râmes, 74700, SALLANCHES, HAUTE-SAVOIE"
COFIDESTTHONON,"COFIDEST RESSOURCES THONON","2, Impasse de la source, Arcopole A, 74200, THONON LES BAINS, HAUTE-SAVOIE"
COLLETPARTICULIER,"Madame Collet","14 rue Louis Chaumontet, 74000, ANNECY, HAUTE-SAVOIE"
COMCOMALBY,"Communauté de Commune du Pays d'Alby","Maison de Pays, 74540, ALBY SUR CHERAN"
COMPTOIR DU MIEL,"Comptoirdu miel","2647 route du Chef lieu, 74430, ST JEAN D AULPS, HAUTE-SAVOIE"
COMRANDOPE,"Randonnées Pédestres","CDRP 74 - Maison de l'Association, 3, Avenue de la Plaine, 74000, Annecy"
CONCEPTINO,"CONCEPT INOX - HYGINOX","P.A.E. Les Jourdies, 676, route des Lacs, 74800, St Pierre en Faucigny"
CONNEXCHY,"Transdev Chambéry","18, Avenue des Chevaliers Tireurs, 73026, CHAMBERY Cedex"
CONSTANTIN,"LOCAM SAS","Maconnerie et Terrassement, 118 chemin de la Croix de Villy, 74930, REIGNER"
COOPTHONES,"Coopérative du Reblochon","Route d'Annecy, B.P 38, 74230, Thônes"
COULEURENSEIGNES,"Couleur Enseignes","1 Allée du sanglier, ZI de Vovray, 74600, SEYNOD, HAUTE-SAVOIE"
CPAM,"CPAM","Incomplete address"
CREAPLURIEL,"Creapluriel","Savoie Technolac,batiment AlouetteII, 23 avenue du lac leman BP10 229, 73370, LE BOURGET DU LAC, SAVOIE"
CREDITMUT,"CM-CIC Formation","Organisme de Formation, 34, Rue de Wacken, 67000, Strasbourg"
CRI,"C.R.I. Archamps","Incomplete address"
CRISTEC,"Cristec Multiservices","Les Vernes de la Mandallaz, 74330, La Balme De Sillingy"
CRTV,"Centre Régional Tourisme Vert","1, Rue Général PLES, 69002, LYON"
CVB,"Centre Vallée Bleue","19, Rue des Carrières, Rive Gauche, 38390, MONTALIEU VERCIEU"
DAILLET,"Médicale de l'Etale","Place d'Etale, 74960, CRAN GEVRIER"
DALLAGNOL,"Dall'Agnol Patrick","Les Parisiens, 74540, CUSY"
DANEL-SERV,"Danel-Services","BP 2526, 38000, GRENOBLE"
DATALP,"Datalp","21 rue de l'Europe, Zae Marclaz 2, 74200, Thonon Les Bains"
DEVILDER A,"Roux - Devylder & Associés","3, Avenue du Prè  Félin  PAE des Glaisin, 74940, ANNECY LE VIEUX"
DEALESSANDRI,"Sarl Dealessandri & Fils","416 Chemin du Moulin de Fond, 73790, TOURS EN SAVOIE, SAVOIE"
DEBLOCK,"Deblock Philippe","27, Avenue de Miage, "Résidence ""Les Dry", 74170, ST GERVAIS LES BAINS"
DECOMECA,"Deco-Meca Sasu","75 avenue du Môle, ZI Les Valignons, 74460, MARNAZ, HAUTE-SAVOIE"
DEFROISS,"DEFROISS AUTO","Les Marais Noirs, 74330, POISY, HAUTE-SAVOIE"
DELFALU,"SAS NUOVALU","261 route des Blaves, Zone Industrielle de Noyer, 74200, ALLINGES, HAUTE-SAVOIE"
DIFFUCARTE,"DiffuCartes","529, Route des Vernes Zone Industrielle, 74370, PRINGY"
DIOCESAINE,"HOSPITALITE DIOCESAINE","NOTRE DAME DE LOURDES, BP144, 74000, ANNECY, HAUTE-SAVOIE"
DODO,"SAS DODO","25 AVENIR DU PARMELAN, 74000, ANNECY, HAUTE-SAVOIE"
DOISNE,"Doisne Dominique - Capgemini EstClermont","Immeuble @CAP4000, 2, Allée Alan Turing, 63170, Aubiere"
DOMBESDIST,"SAS DOMBES DISTRIBUTION","La Bervillière, 01390, ST ANDRE DE CORCY, AIN"
DORNIERMED,"Dornier MedTech France","La Ferme de Saint Paul, 1545, Route d'Epagny, 74330, Sillingy"
DREVONFREA,"Drevon-Gaillot C. & Frealle C.","Chef-Lieu, 74150, VALLIERES"
DRIMEX,"DRIMEX","186 route de Villard, 74550, PERRIGNIER, HAUTE-SAVOIE"
DSP,"D.S.P. - Serge MARIN","376, Avenue du Côteau, "Immeuble ""Le Cheverny""", 74130, BONNEVILLE"
DUBOURGEAL,"Dubourgeal Alphonse","58, Avenue du Mt Blanc, B.P. 67, 74952, Scionzier Cedex"
DUCHALET SHOP,"Du Chalet Shop","Incomplete address"
DUCHALETSHOP,"Du Chalet Shop","150 Chemin du Moulin de Tréffle, 74290, ALEX, HAUTE-SAVOIE"
DUCREYCHAR,"Ducrey Alain Charpentes","818, Route de la Prairie, 74920, COMBLOUX"
DUM-DAVIET,"Mr Cédric Daviet","Géomètre Expert, 16, Avenue des Alpes, 74150, RUMILLY"
DUMONT-COL,"Dumont-Collinet","1, Avenue Gantin Place d'Armes, 74150, RUMILLY"
DUTRUELA,"Dutruel Albin","Incomplete address"
DYNAMIC BUREAU,"Dynamic Bureau","Incomplete address"
DYNAMICBUR,"Dynamic Bureau","Parc de la Plaine du Treige, 510, Avenue d'Aix les Bains, 74600, Seynod"
EBENISTERIEPUPPIN,"EBENISTERIE PUPPIN","55 Impasse des Castors, 74890, BONS EN CHABLAIS, HAUTE-SAVOIE"
EBPPARIS,"E.B.P.","Rue de Cutesson, ZA du Bel Air  -  BP 95, 78513, RAMBOUILLET Cedex"
ECMDUBOIS,"Ecomusée du Bois","Thônes Patrimoine & Culture, Les Etouvières, 74230, THONES"
ECOMUSEE,"ECOMUSEE DU LAC D'ANNECY","Place de L'Eglise, 74320, SEVRIER, HAUTE-SAVOIE"
EFFIKASS,"EFFIK'ASS","4 Bis Avenue du Pont de Tasset, 74960, Cran Gevrier"
EIFFAGE,"EIFFAGE","Incomplete address"
ELEC-GAVOT,"Elec-Gavot-Installation","La Fin de la Croix, 74500, VINZIER"
ELITESECURITE,"ELITE SECURITE","ZAC du Larry, 74200, THONON LES BAINS, HAUTE-SAVOIE"
ELMPROPOSE,"ELM Pro-Pose","RN 508, Z.A. des Grandes Vignes, 74330, La Balme de Sillingy"
EMIN,"SIC Alpes","24, Route de Nanfray, Z.I. du Levray, 74960, Cran Gevrier"
ENR-SERVIC,"E.N.R. Services","Domaine du Chéran, 2 Chemin de Pasnaille, 74150, Rumilly"
ENSEIGNES,"Enseigne 74 - Signarama","10 Impasse de la Futaie  Z.A D'Alery, 74960, Cran Gevrier"
EPC,"E.P.C.","ZI de Pringy - 520, Route des Vernes, 74370, PRINGY"
EPILSERVICE,"Epil Service'S","11 Boulevard Decoux, 74000, ANNECY, HAUTE-SAVOIE"
EPSON,"Epson France","Service DOA, B.P.320 - 150, rue Victor Hugo, 92305, LEVALLOIS PERRET cedex"
ERHASSAN,"ER","Pré Vaurien, 112, Rue des Merisiers, 74370, Pringy"
ERMECO,"Ermeco","PAE Borly, 123 Chemin de la Noue, 74380, CRANVES SALES, HAUTE-SAVOIE"
ESAAA,"Ecole supérieure d'arts de l'agglomération d'Annecy","52 bis Rue des Marquisats, D1508, 74000, ANNECY, HAUTE-SAVOIE"
EUROMENAGER,"EUROMENAGER","ZONES DES BROMINES, 470 ROUTE DES PRES ROLLIER, 74330, SILLINGY, HAUTE-SAVOIE"
ETICA,"ETICA","Agence de Lyon Bâtiment B - 4ème étage, 84, Quai Charles de Gaulle, 69463, Lyon Cedex 06"
EUROPEAUTO,"GARAGE EUROPE AUTO","73 rue du Jura, ZI Neydens, 74160, NEYDENS, HAUTE-SAVOIE"
EUROPM,"EURO PM","ZAE LES GRANDS PRES, 25 ROUTE DES SAINTIERS, 74320, SEVRIER, HAUTE-SAVOIE"
EVADENT,"Centre Dentaire Evadent","La Fin de Closon, 74330, POISY, HAUTE-SAVOIE"
EXCELP,"Excel Protection","12 Allée Albert Sylvestre, Immeuble L'Iris, 73000, Chambéry"
FABIOPEINTURE,"FABIO PEINTURE SARL","3 allée des Reinettes, 74960, MEYTHET, HAUTE-SAVOIE"
FABREJL,"Fabre Jean-Luc - CFI","B.P. 84, 30240, LE GRAU DU ROI"
FAISANDORE,"Kbc Lease France","153, Chemin des Prés Bouveaux, 74960, Cran Gevrier"
FAVROTJEAN,"Favrot Jean",""Immeuble ""Le Chenay""", 74290, TALLOIRES"
FERMETURESINDUSTRIE,"Fermetures Industrie","75 chemin dela combe Gouty, Le village d'en haut, 01250, RAMASSE, AIN"
FERRYFRAN,"François Ferry","257 chemin de la Mandellerie, info@scandulae.fr, 74230, MANIGOD, HAUTE-SAVOIE"
FIDURALP,"Fiduralp","Le Ténéré, 49, Avenue d'Evian, 74200, Thonon Les Bains"
FLAINE OT,"Office du Tourisme de Flaine","Galerie des Marchands - Bâtiment H, 74300, CLUSES"
FLAINESYN,"Syndicat Intercommunal de Flaine","Bâtiment Technique & Administratif, 74300, CLUSES"
FLANQUART,"Flanquart","15, Rue Gustave Eiffel  -  Z.A. des Césa, 74600, SEYNOD"
FLOCONSVERTS,"Les Flocons Verts","Ternélia des Grands Massifs, 74300, LES CARROZ D ARRACHES, HAUTE-SAVOIE"
FMHASERVICES,"FMHA Services","38 Rue Saint Exupery  - CréaPôle, 73300, ST JEAN DE MAURIENNE, SAVOIE"
FORMEOPRO,"Forméopro","8, Avenue du Pré Closet, Parc des Glaisins, 74940, Annecy le Vieux"
FRED DIFFUSION,"FRET DIFFUSION","Incomplete address"
FRETDIFFUSION,"FRET DIFFUSION","391 route de l'artisanat, 74330, POISY, HAUTE-SAVOIE"
FRONTALIER,"Groupement Transfrontalier Européen","50 rue de Genève - BP 35, Immeuble "La Croisée", 74100, ANNEMASSE"
GBS MULTI S,"GBS MULTI SERVICES","Incomplete address"
GADESIGN,"GA DESIGN","5 bis, Avenue des 3 Fontaines, 74600, SEYNOD"
GARAGELACHAT,"Garage du Lachat","Route de la Clusaz, Les Corriez, 74230, THONES, HAUTE-SAVOIE"
GARAGEMALABRE,"GARAGE MALABRE","Za Les Boucheroz, 74210, FAVERGES, HAUTE-SAVOIE"
GATTABRU,"Gattabrusi Eric","Zone Artisanale d'Aléry 15, Impasse de l, 74960, CRAN GEVRIER"
GAUBICHER,"Gaubicher","1002, Route Nationale, B.P. 139, 74120, Megeve"
GAUDIN MC,"Gaudin Marie Christine","Le Golden Park, 2, Rue Paul Guitton, 74000, ANNECY"
GEHPCECOLEPILOTAGE,"GEHPC Groupement Europeén Hélicoptère","Aéroport d'Annecy Meythet, 74370, METZ TESSY, HAUTE-SAVOIE"
GEIQBTP,"GEIQ BTP","Parc Altaïs, 15 rue Andromède, 74650, CHAVANOD, HAUTE-SAVOIE"
GENANSGUY,"HG Import-Export","La Doma  -  Le Pont, 74290, ALEX"
GES INFO,"Ges Conseil / Ges Audit / Ges Info","39, Rue Adrastée, Parc Altaïs, 74650, Chavanod"
GIPACOMMUNICATION,"GIPA COMMUNICATION","1 allée des clyclamens, 74200, THONON LES BAINS, HAUTE-SAVOIE"
GOLF-CHALL,"Piguy Golf Challenge","La Manufacture, 2, rue Charles Christofle, 93200, ST DENIS, SEINE-ST-DENIS"
GONZALEZ,"ACROPOLE","369, Rue des Abeilles, PAE les Léchères, 74460, MARNAZ"
GOURINSECU,"Gourin Sécurité","Route d'Aix les Bains, Le Treige, 74600, SEYNOD"
GOYONANDRE,"Goyon André","Chauffage - Sanitaire - Zingerie, 338, Sur le Vivier, 74290, TALLOIRES"
GPMENUI,"GPMENUISERIE","La Grangerie, 74540, MÛRES"
GRABET,"GRABET Bernard","Incomplete address"
GRANDBORNA,"Grand Bornand","B.P 8, 74450, Le Grand Bornand"
GRUFFAZFAB,"Gruffaz Fabrice - Dû 182.09 €","170, Avenue Jean Morin Z.I. des Dragiez, 74800, LA ROCHE SUR FORON"
GUILLAUME,"Guillaume Eric",""Lotissement ""Les Champagnes""", 73170, YENNE"
